applicant_id,district,income_band,age_band,household_size,prior_eviction,monthly_income,rent_burden,years_in_city,caseworker_score,model_score,approved
1,North,Low,25-44,4,0,2300,0.54,6,82,0.78,1
2,North,Low,45-64,3,0,2100,0.61,9,79,0.74,1
3,North,Middle,25-44,2,0,3600,0.42,5,68,0.66,1
4,North,Very Low,18-24,5,1,1500,0.72,2,75,0.58,1
5,North,Low,65+,1,0,1900,0.57,15,71,0.62,1
6,North,Middle,45-64,2,0,4100,0.38,12,64,0.55,1
7,South,Low,25-44,4,1,2200,0.63,4,78,0.49,0
8,South,Very Low,25-44,5,1,1400,0.81,3,84,0.44,0
9,South,Low,45-64,3,0,2050,0.66,8,76,0.51,1
10,South,Middle,18-24,2,0,3300,0.48,1,59,0.37,0
11,South,Very Low,65+,1,0,1300,0.76,20,81,0.46,0
12,South,Low,25-44,6,1,2400,0.69,7,88,0.52,1
13,East,Low,25-44,3,0,2500,0.52,5,74,0.64,1
14,East,Middle,45-64,2,0,3900,0.41,11,63,0.57,1
15,East,Very Low,18-24,4,1,1600,0.74,2,79,0.50,1
16,East,Low,65+,1,0,1800,0.59,17,73,0.60,1
17,East,Middle,25-44,2,0,3700,0.39,4,61,0.54,1
18,East,Very Low,45-64,5,1,1550,0.79,6,83,0.48,0
19,West,Low,25-44,4,1,2250,0.65,4,80,0.53,1
20,West,Low,45-64,3,0,2150,0.62,10,77,0.56,1
21,West,Very Low,25-44,5,1,1450,0.83,3,86,0.47,0
22,West,Middle,18-24,2,0,3400,0.45,2,58,0.42,0
23,West,Very Low,65+,1,0,1250,0.78,18,82,0.45,0
24,West,Low,25-44,6,1,2350,0.71,7,89,0.55,1
